"company_id","transaction_id","close","large_dip","date_published","industry_id","pb_ratio","pc_ratio","pe_ratio","ps_ratio","discount_percentile","institution_held","insider_held","return_on_assets","return_on_equity","total_debt_equity","current_ratio","market_cap","recovered"
33,2637823,19.06,t,"2019-03-05 00:00:00",25,0.929756097560976,1.71248876909254,-0.967021816336885,0.106337871010935,0.209267110841914,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,t
33,1663945,22.47,t,"2019-04-26 00:00:00",25,1.09609756097561,2.0188679245283,-1.1400304414003,0.125362642267351,0.312537855844942,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,t
33,1875146,17.98,t,"2019-02-08 00:00:00",25,0.877073170731707,1.61545372866128,-0.91222729578894,0.100312430261102,0.176559660811629,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,t
33,2262177,39.31,t,"2018-09-29 00:00:00",25,1.91756097560976,3.5318957771788,-1.99441907661086,0.219314885070297,0.822531798909752,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,f
33,2135593,28.83,t,"2018-11-09 00:00:00",25,1.40634146341463,2.59029649595687,-1.46270928462709,0.160845793349699,0.505148394912174,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,f
33,2052044,21,t,"2018-12-08 00:00:00",25,1.02439024390244,1.88679245283019,-1.06544901065449,0.117161347913412,0.268019382192611,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,f
33,2933501,21.47,t,"2019-08-16 00:00:00",25,1.04731707317073,1.92902066486972,-1.08929477422628,0.11978353046195,0.282253179890975,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,t
33,3013496,19.73,t,"2019-08-28 00:00:00",25,0.962439024390244,1.77268643306379,-1.00101471334348,0.110075875920553,0.229557843731072,103.84,0.27,0.99,-53.93,162.38,1.07,1870000000,t
35,1875158,162.2,t,"2019-02-08 00:00:00",26,3.45179825494786,2.05811445248065,10.0309214594929,1.12350211262728,0.332145294608326,97.17,2.83,3,39.02,1062.26,2.67,6300000000,t
35,2024206,154.3,t,"2018-12-21 00:00:00",26,3.28367737816557,1.95787336632407,9.54236239950526,1.06878160282607,0.272237809964359,97.17,2.83,3,39.02,1062.26,2.67,6300000000,t
35,2030512,160.3,t,"2018-12-19 00:00:00",26,3.41136412002554,2.03400583682274,9.91341991341991,1.11034148368775,0.317737165390157,97.17,2.83,3,39.02,1062.26,2.67,6300000000,t
35,2179902,198.9,t,"2018-10-25 00:00:00",26,4.23281549265801,2.52379139703083,12.3005565862709,1.37771005056452,0.610449685296125,97.17,2.83,3,39.02,1062.26,2.67,6300000000,f
35,2489805,219,t,"2018-07-17 00:00:00",26,4.66056607788891,2.77883517320137,13.543599257885,1.51693565145113,0.762872525972549,97.17,2.83,3,39.02,1062.26,2.67,6300000000,t
35,2050445,179,t,"2018-12-11 00:00:00",26,3.80932113215578,2.27128536987692,11.0698824984539,1.23986977903997,0.459543489800561,97.17,2.83,3,39.02,1062.26,2.67,6300000000,f
35,2222487,211.7,t,"2018-10-12 00:00:00",26,4.50521387529261,2.68620733409466,13.0921459492888,1.46637112973609,0.707514976871161,97.17,2.83,3,39.02,1062.26,2.67,6300000000,f
35,1681749,162.6,t,"2019-04-19 00:00:00",26,3.46031070440519,2.06318995051389,10.0556586270872,1.12627277135139,0.335178584970046,97.17,2.83,3,39.02,1062.26,2.67,6300000000,f
35,2960047,136.5,t,"2019-08-20 00:00:00",26,2.90487337731432,1.73201370384469,8.44155844155844,0.945487289603103,0.137256388867824,97.17,2.83,3,39.02,1062.26,2.67,6300000000,f
35,2979983,135.5,t,"2019-08-23 00:00:00",26,2.88359225367099,1.71932495876158,8.37971552257267,0.938560642792824,0.129673162963525,97.17,2.83,3,39.02,1062.26,2.67,6300000000,f
35,3013497,122.1,t,"2019-08-28 00:00:00",26,2.59842519685039,1.54929577464789,7.55102040816326,0.845743575535083,0.0280579358459088,97.17,2.83,3,39.02,1062.26,2.67,6300000000,t
40,2024208,6.39,t,"2018-12-21 00:00:00",28,1.22648752399232,106.5,-8.6820652173913,0.99223602484472,0.382826475849732,98.65,1.2,1.46,-12.99,255.78,0.42,3660000000,t
40,2418103,8.47,t,"2018-08-10 00:00:00",28,1.6257197696737,141.166666666667,-11.508152173913,1.31521739130435,0.754919499105546,98.65,1.2,1.46,-12.99,255.78,0.42,3660000000,t
40,2011649,6.01,t,"2018-12-25 00:00:00",28,1.15355086372361,100.166666666667,-8.16576086956522,0.933229813664596,0.314847942754919,98.65,1.2,1.46,-12.99,255.78,0.42,3660000000,t
40,2222497,7.77,t,"2018-10-12 00:00:00",28,1.49136276391555,129.5,-10.5570652173913,1.20652173913043,0.629695885509839,98.65,1.2,1.46,-12.99,255.78,0.42,3660000000,f
40,1606231,5.98,t,"2019-05-14 00:00:00",28,1.14779270633397,99.6666666666667,-8.125,0.928571428571429,0.309481216457961,98.65,1.2,1.46,-12.99,255.78,0.42,3660000000,f
40,1792991,6.57,t,"2019-03-13 00:00:00",28,1.26103646833013,109.5,-8.92663043478261,1.02018633540373,0.415026833631485,98.65,1.2,1.46,-12.99,255.78,0.42,3660000000,f
40,2866198,5.61,t,"2019-08-06 00:00:00",28,1.0767754318618,93.5,-7.62228260869565,0.87111801242236,0.243291592128801,98.65,1.2,1.46,-12.99,255.78,0.42,3660000000,f
40,1620178,6.18,t,"2019-05-09 00:00:00",28,1.18618042226488,103,-8.39673913043478,0.959627329192546,0.34525939177102,98.65,1.2,1.46,-12.99,255.78,0.42,3660000000,f
